2025-07-03 02:09:50.951
SEM_-_BI_WT_hg38.bam
Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
chr5_KI270792v1_alt	179043	847.0	0.0
chr5_KI270791v1_alt	195710	879.0	0.0
chr5_GL383532v1_alt	82728	495.0	0.0
chr5_GL949742v1_alt	226852	1520.0	0.0
chr5_KI270794v1_alt	164558	920.0	0.0
chr5_GL339449v2_alt	1612928	12322.0	0.0
chr5_GL383530v1_alt	101241	1010.0	0.0
chr5_KI270796v1_alt	172708	1096.0	0.0
chr5_GL383531v1_alt	173459	1290.0	0.0
chr5_KI270795v1_alt	131892	939.0	0.0
chr6_GL000250v2_alt	4672374	5597.0	0.0
chr6_KI270800v1_alt	175808	1030.0	0.0
chr6_KI270799v1_alt	152148	1074.0	0.0
chr6_GL383533v1_alt	124736	983.0	0.0
chr6_KI270801v1_alt	870480	5556.0	0.0
chr6_KI270802v1_alt	75005	424.0	0.0
chr6_KB021644v2_alt	185823	767.0	0.0
chr6_KI270797v1_alt	197536	1130.0	0.0
chr6_KI270798v1_alt	271782	1475.0	0.0
chr7_KI270804v1_alt	157952	309.0	0.0
chr7_KI270809v1_alt	209586	2248.0	0.0
chr7_KI270806v1_alt	158166	1355.0	0.0
chr7_GL383534v2_alt	119183	744.0	0.0
chr7_KI270803v1_alt	1111570	7425.0	0.0
chr7_KI270808v1_alt	271455	2105.0	0.0
chr7_KI270807v1_alt	126434	397.0	0.0
chr7_KI270805v1_alt	209988	785.0	0.0
chr8_KI270818v1_alt	145606	953.0	0.0
chr8_KI270812v1_alt	282736	1683.0	0.0
chr8_KI270811v1_alt	292436	1341.0	0.0
chr8_KI270821v1_alt	985506	7852.0	0.0
chr8_KI270813v1_alt	300230	3671.0	0.0
chr8_KI270822v1_alt	624492	6583.0	0.0
chr8_KI270814v1_alt	141812	1238.0	0.0
chr8_KI270810v1_alt	374415	4180.0	0.0
chr8_KI270819v1_alt	133535	716.0	0.0
chr8_KI270820v1_alt	36640	151.0	0.0
chr8_KI270817v1_alt	158983	1114.0	0.0
chr8_KI270816v1_alt	305841	2328.0	0.0
chr8_KI270815v1_alt	132244	1341.0	0.0
chr9_GL383539v1_alt	162988	937.0	0.0
chr9_GL383540v1_alt	71551	468.0	0.0
chr9_GL383541v1_alt	171286	1230.0	0.0
chr9_GL383542v1_alt	60032	554.0	0.0
chr9_KI270823v1_alt	439082	2551.0	0.0
chr10_GL383545v1_alt	179254	1246.0	0.0
chr10_KI270824v1_alt	181496	2211.0	0.0
chr10_GL383546v1_alt	309802	2281.0	0.0
chr10_KI270825v1_alt	188315	1139.0	0.0
chr11_KI270832v1_alt	210133	1487.0	0.0
chr11_KI270830v1_alt	177092	696.0	0.0
chr11_KI270831v1_alt	296895	1618.0	0.0
chr11_KI270829v1_alt	204059	1592.0	0.0
chr11_GL383547v1_alt	154407	1117.0	0.0
chr11_JH159136v1_alt	200998	1323.0	0.0
chr11_JH159137v1_alt	191409	1358.0	0.0
chr11_KI270827v1_alt	67707	369.0	0.0
chr11_KI270826v1_alt	186169	779.0	0.0
chr12_GL877875v1_alt	167313	1283.0	0.0
chr12_GL877876v1_alt	408271	2245.0	0.0
chr12_KI270837v1_alt	40090	241.0	0.0
chr12_GL383549v1_alt	120804	976.0	0.0
chr12_KI270835v1_alt	238139	1796.0	0.0
chr12_GL383550v2_alt	169178	1475.0	0.0
chr12_GL383552v1_alt	138655	901.0	0.0
chr12_GL383553v2_alt	152874	1113.0	0.0
chr12_KI270834v1_alt	119498	668.0	0.0
chr12_GL383551v1_alt	184319	1145.0	0.0
chr12_KI270833v1_alt	76061	311.0	0.0
chr12_KI270836v1_alt	56134	176.0	0.0
chr13_KI270840v1_alt	191684	1026.0	0.0
chr13_KI270839v1_alt	180306	1305.0	0.0
chr13_KI270843v1_alt	103832	624.0	0.0
chr13_KI270841v1_alt	169134	924.0	0.0
chr13_KI270838v1_alt	306913	1479.0	0.0
chr13_KI270842v1_alt	37287	124.0	0.0
chr14_KI270844v1_alt	322166	2617.0	0.0
chr14_KI270847v1_alt	1511111	10409.0	0.0
chr14_KI270845v1_alt	180703	875.0	0.0
chr14_KI270846v1_alt	1351393	9567.0	0.0
chr15_KI270852v1_alt	478999	3748.0	0.0
chr15_KI270851v1_alt	263054	1761.0	0.0
chr15_KI270848v1_alt	327382	2137.0	0.0
chr15_GL383554v1_alt	296527	1643.0	0.0
chr15_KI270849v1_alt	244917	2046.0	0.0
chr15_GL383555v2_alt	388773	2532.0	0.0
chr15_KI270850v1_alt	430880	3486.0	0.0
chr16_KI270854v1_alt	134193	1132.0	0.0
chr16_KI270856v1_alt	63982	574.0	0.0
chr16_KI270855v1_alt	232857	1897.0	0.0
chr16_KI270853v1_alt	2659700	23566.0	0.0
chr16_GL383556v1_alt	192462	1060.0	0.0
chr16_GL383557v1_alt	89672	1056.0	0.0
chr17_GL383563v3_alt	375691	2045.0	0.0
chr17_KI270862v1_alt	391357	3090.0	0.0
chr17_KI270861v1_alt	196688	1830.0	0.0
chr17_KI270857v1_alt	2877074	22669.0	0.0
chr17_JH159146v1_alt	278131	1986.0	0.0
chr17_JH159147v1_alt	70345	399.0	0.0
chr17_GL383564v2_alt	133151	746.0	0.0
chr17_GL000258v2_alt	1821992	9376.0	0.0
chr17_GL383565v1_alt	223995	1446.0	0.0
chr17_KI270858v1_alt	235827	1405.0	0.0
chr17_KI270859v1_alt	108763	893.0	0.0
chr17_GL383566v1_alt	90219	720.0	0.0
chr17_KI270860v1_alt	178921	968.0	0.0
chr18_KI270864v1_alt	111737	976.0	0.0
chr18_GL383567v1_alt	289831	2486.0	0.0
chr18_GL383570v1_alt	164789	1362.0	0.0
chr18_GL383571v1_alt	198278	1416.0	0.0
chr18_GL383568v1_alt	104552	887.0	0.0
chr18_GL383569v1_alt	167950	514.0	0.0
chr18_GL383572v1_alt	159547	673.0	0.0
chr18_KI270863v1_alt	167999	1024.0	0.0
chr19_KI270868v1_alt	61734	603.0	0.0
chr19_KI270865v1_alt	52969	266.0	0.0
chr19_GL383573v1_alt	385657	2630.0	0.0
chr19_GL383575v2_alt	170222	1183.0	0.0
chr19_GL383576v1_alt	188024	1191.0	0.0
chr19_GL383574v1_alt	155864	1647.0	0.0
chr19_KI270866v1_alt	43156	373.0	0.0
chr19_KI270867v1_alt	233762	1568.0	0.0
chr19_GL949746v1_alt	987716	2415.0	0.0
chr20_GL383577v2_alt	128386	877.0	0.0
chr20_KI270869v1_alt	118774	560.0	0.0
chr20_KI270871v1_alt	58661	287.0	0.0
chr20_KI270870v1_alt	183433	904.0	0.0
chr21_GL383578v2_alt	63917	571.0	0.0
chr21_KI270874v1_alt	166743	1253.0	0.0
chr21_KI270873v1_alt	143900	1080.0	0.0
chr21_GL383579v2_alt	201197	1274.0	0.0
chr21_GL383580v2_alt	74653	701.0	0.0
chr21_GL383581v2_alt	116689	1376.0	0.0
chr21_KI270872v1_alt	82692	463.0	0.0
chr22_KI270875v1_alt	259914	2174.0	0.0
chr22_KI270878v1_alt	186262	1407.0	0.0
chr22_KI270879v1_alt	304135	2517.0	0.0
chr22_KI270876v1_alt	263666	2329.0	0.0
chr22_KI270877v1_alt	101331	632.0	0.0
chr22_GL383583v2_alt	96924	726.0	0.0
chr22_GL383582v2_alt	162811	886.0	0.0
chrX_KI270880v1_alt	284869	1172.0	0.0
chrX_KI270881v1_alt	144206	845.0	0.0
chr19_KI270882v1_alt	248807	106.0	0.0
chr19_KI270883v1_alt	170399	76.0	0.0
chr19_KI270884v1_alt	157053	68.0	0.0
chr19_KI270885v1_alt	171027	82.0	0.0
chr19_KI270886v1_alt	204239	74.0	0.0
chr19_KI270887v1_alt	209512	112.0	0.0
chr19_KI270888v1_alt	155532	74.0	0.0
chr19_KI270889v1_alt	170698	63.0	0.0
chr19_KI270890v1_alt	184499	73.0	0.0
chr19_KI270891v1_alt	170680	65.0	0.0
chr1_KI270892v1_alt	162212	843.0	0.0
chr2_KI270894v1_alt	214158	4975.0	0.0
chr2_KI270893v1_alt	161218	683.0	0.0
chr3_KI270895v1_alt	162896	542.0	0.0
chr4_KI270896v1_alt	378547	2091.0	0.0
chr5_KI270897v1_alt	1144418	8346.0	0.0
chr5_KI270898v1_alt	130957	808.0	0.0
chr6_GL000251v2_alt	4795265	16173.0	0.0
chr7_KI270899v1_alt	190869	577.0	0.0
chr8_KI270901v1_alt	136959	854.0	0.0
chr8_KI270900v1_alt	318687	1408.0	0.0
chr11_KI270902v1_alt	106711	428.0	0.0
chr11_KI270903v1_alt	214625	1037.0	0.0
chr12_KI270904v1_alt	572349	3434.0	0.0
chr15_KI270906v1_alt	196384	1050.0	0.0
chr15_KI270905v1_alt	5161414	34903.0	0.0
chr17_KI270907v1_alt	137721	673.0	0.0
chr17_KI270910v1_alt	157099	819.0	0.0
chr17_KI270909v1_alt	325800	1225.0	0.0
chr17_JH159148v1_alt	88070	453.0	0.0
chr17_KI270908v1_alt	1423190	9005.0	0.0
chr18_KI270912v1_alt	174061	568.0	0.0
chr18_KI270911v1_alt	157710	748.0	0.0
chr19_GL949747v2_alt	729520	1502.0	0.0
chr22_KB663609v1_alt	74013	288.0	0.0
chrX_KI270913v1_alt	274009	1034.0	0.0
chr19_KI270914v1_alt	205194	72.0	0.0
chr19_KI270915v1_alt	170665	55.0	0.0
chr19_KI270916v1_alt	184516	104.0	0.0
chr19_KI270917v1_alt	190932	136.0	0.0
chr19_KI270918v1_alt	123111	46.0	0.0
chr19_KI270919v1_alt	170701	59.0	0.0
chr19_KI270920v1_alt	198005	143.0	0.0
chr19_KI270921v1_alt	282224	164.0	0.0
chr19_KI270922v1_alt	187935	119.0	0.0
chr19_KI270923v1_alt	189352	153.0	0.0
chr3_KI270924v1_alt	166540	515.0	0.0
chr4_KI270925v1_alt	555799	2636.0	0.0
chr6_GL000252v2_alt	4604811	11507.0	0.0
chr8_KI270926v1_alt	229282	1760.0	0.0
chr11_KI270927v1_alt	218612	917.0	0.0
chr19_GL949748v2_alt	1064304	744.0	0.0
chr22_KI270928v1_alt	176103	816.0	0.0
chr19_KI270929v1_alt	186203	146.0	0.0
chr19_KI270930v1_alt	200773	89.0	0.0
chr19_KI270931v1_alt	170148	78.0	0.0
chr19_KI270932v1_alt	215732	71.0	0.0
chr19_KI270933v1_alt	170537	49.0	0.0
chr19_GL000209v2_alt	177381	77.0	0.0
chr3_KI270934v1_alt	163458	485.0	0.0
chr6_GL000253v2_alt	4677643	11120.0	0.0
chr19_GL949749v2_alt	1091841	718.0	0.0
chr3_KI270935v1_alt	197351	689.0	0.0
chr6_GL000254v2_alt	4827813	10466.0	0.0
chr19_GL949750v2_alt	1066390	815.0	0.0
chr3_KI270936v1_alt	164170	483.0	0.0
chr6_GL000255v2_alt	4606388	12338.0	0.0
chr19_GL949751v2_alt	1002683	771.0	0.0
chr3_KI270937v1_alt	165607	460.0	0.0
chr6_GL000256v2_alt	4929269	11365.0	0.0
chr19_GL949752v1_alt	987100	2639.0	0.0
chr6_KI270758v1_alt	76752	226.0	0.0
chr19_GL949753v2_alt	796479	1500.0	0.0
chr19_KI270938v1_alt	1066800	2828.0	0.0
chrM	16569	65626.0	0.0
chrUn_KI270302v1	2274	42.0	0.0
chrUn_KI270304v1	2165	129.0	0.0
chrUn_KI270303v1	1942	96.0	0.0
chrUn_KI270305v1	1472	30.0	0.0
chrUn_KI270322v1	21476	114.0	0.0
chrUn_KI270320v1	4416	131.0	0.0
chrUn_KI270310v1	1201	96.0	0.0
chrUn_KI270316v1	1444	15.0	0.0
chrUn_KI270315v1	2276	69.0	0.0
chrUn_KI270312v1	998	11.0	0.0
chrUn_KI270311v1	12399	137.0	0.0
chrUn_KI270317v1	37690	78.0	0.0
chrUn_KI270412v1	1179	41.0	0.0
chrUn_KI270411v1	2646	129.0	0.0
chrUn_KI270414v1	2489	61.0	0.0
chrUn_KI270419v1	1029	9.0	0.0
chrUn_KI270418v1	2145	34.0	0.0
chrUn_KI270420v1	2321	26.0	0.0
chrUn_KI270424v1	2140	23.0	0.0
chrUn_KI270417v1	2043	38.0	0.0
chrUn_KI270422v1	1445	37.0	0.0
chrUn_KI270423v1	981	25.0	0.0
chrUn_KI270425v1	1884	27.0	0.0
chrUn_KI270429v1	1361	35.0	0.0
chrUn_KI270442v1	392061	17107.0	0.0
chrUn_KI270466v1	1233	1652.0	0.0
chrUn_KI270465v1	1774	29.0	0.0
chrUn_KI270467v1	3920	6803.0	0.0
chrUn_KI270435v1	92983	2672.0	0.0
chrUn_KI270438v1	112505	62154.0	0.0
chrUn_KI270468v1	4055	126.0	0.0
chrUn_KI270510v1	2415	117.0	0.0
chrUn_KI270509v1	2318	159.0	0.0
chrUn_KI270518v1	2186	136.0	0.0
chrUn_KI270508v1	1951	105.0	0.0
chrUn_KI270516v1	1300	94.0	0.0
chrUn_KI270512v1	22689	584.0	0.0
chrUn_KI270519v1	138126	4543.0	0.0
chrUn_KI270522v1	5674	184.0	0.0
chrUn_KI270511v1	8127	255.0	0.0
chrUn_KI270515v1	6361	432.0	0.0
chrUn_KI270507v1	5353	260.0	0.0
chrUn_KI270517v1	3253	174.0	0.0
chrUn_KI270529v1	1899	28.0	0.0
chrUn_KI270528v1	2983	53.0	0.0
chrUn_KI270530v1	2168	42.0	0.0
chrUn_KI270539v1	993	4.0	0.0
chrUn_KI270538v1	91309	1753.0	0.0
chrUn_KI270544v1	1202	50.0	0.0
chrUn_KI270548v1	1599	13.0	0.0
chrUn_KI270583v1	1400	64.0	0.0
chrUn_KI270587v1	2969	119.0	0.0
chrUn_KI270580v1	1553	67.0	0.0
chrUn_KI270581v1	7046	126.0	0.0
chrUn_KI270579v1	31033	619.0	0.0
chrUn_KI270589v1	44474	1092.0	0.0
chrUn_KI270590v1	4685	327.0	0.0
chrUn_KI270584v1	4513	243.0	0.0
chrUn_KI270582v1	6504	127.0	0.0
chrUn_KI270588v1	6158	270.0	0.0
chrUn_KI270593v1	3041	155.0	0.0
chrUn_KI270591v1	5796	502.0	0.0
chrUn_KI270330v1	1652	289.0	0.0
chrUn_KI270329v1	1040	11.0	0.0
chrUn_KI270334v1	1368	14.0	0.0
chrUn_KI270333v1	2699	1573.0	0.0
chrUn_KI270335v1	1048	8.0	0.0
chrUn_KI270338v1	1428	6.0	0.0
chrUn_KI270340v1	1428	16.0	0.0
chrUn_KI270336v1	1026	416.0	0.0
chrUn_KI270337v1	1121	1110.0	0.0
chrUn_KI270363v1	1803	30.0	0.0
chrUn_KI270364v1	2855	37.0	0.0
chrUn_KI270362v1	3530	64.0	0.0
chrUn_KI270366v1	8320	132.0	0.0
chrUn_KI270378v1	1048	35.0	0.0
chrUn_KI270379v1	1045	18.0	0.0
chrUn_KI270389v1	1298	22.0	0.0
chrUn_KI270390v1	2387	65.0	0.0
chrUn_KI270387v1	1537	15.0	0.0
chrUn_KI270395v1	1143	23.0	0.0
chrUn_KI270396v1	1880	46.0	0.0
chrUn_KI270388v1	1216	35.0	0.0
chrUn_KI270394v1	970	16.0	0.0
chrUn_KI270386v1	1788	25.0	0.0
chrUn_KI270391v1	1484	65.0	0.0
chrUn_KI270383v1	1750	41.0	0.0
chrUn_KI270393v1	1308	38.0	0.0
chrUn_KI270384v1	1658	9.0	0.0
chrUn_KI270392v1	971	16.0	0.0
chrUn_KI270381v1	1930	7.0	0.0
chrUn_KI270385v1	990	11.0	0.0
chrUn_KI270382v1	4215	120.0	0.0
chrUn_KI270376v1	1136	4.0	0.0
chrUn_KI270374v1	2656	20.0	0.0
chrUn_KI270372v1	1650	14.0	0.0
chrUn_KI270373v1	1451	17.0	0.0
chrUn_KI270375v1	2378	25.0	0.0
chrUn_KI270371v1	2805	19.0	0.0
chrUn_KI270448v1	7992	361.0	0.0
chrUn_KI270521v1	7642	144.0	0.0
chrUn_GL000195v1	182896	3660.0	0.0
chrUn_GL000219v1	179198	3835.0	0.0
chrUn_GL000220v1	161802	13094.0	0.0
chrUn_GL000224v1	179693	6440.0	0.0
chrUn_KI270741v1	157432	1344.0	0.0
chrUn_GL000226v1	15008	355.0	0.0
chrUn_GL000213v1	164239	1032.0	0.0
chrUn_KI270743v1	210658	4044.0	0.0
chrUn_KI270744v1	168472	6999.0	0.0
chrUn_KI270745v1	41891	440.0	0.0
chrUn_KI270746v1	66486	1469.0	0.0
chrUn_KI270747v1	198735	3924.0	0.0
chrUn_KI270748v1	93321	1102.0	0.0
chrUn_KI270749v1	158759	1938.0	0.0
chrUn_KI270750v1	148850	2782.0	0.0
chrUn_KI270751v1	150742	4565.0	0.0
chrUn_KI270752v1	27745	12.0	0.0
chrUn_KI270753v1	62944	671.0	0.0
chrUn_KI270754v1	40191	828.0	0.0
chrUn_KI270755v1	36723	129.0	0.0
chrUn_KI270756v1	79590	2125.0	0.0
chrUn_KI270757v1	71251	2680.0	0.0
chrUn_GL000214v1	137718	6169.0	0.0
chrUn_KI270742v1	186739	3981.0	0.0
chrUn_GL000216v2	176608	12109.0	0.0
chrUn_GL000218v1	161147	3366.0	0.0
chrX	156040895	1804567.0	0.0
chrY	57227415	91729.0	0.0
chrY_KI270740v1_random	37240	1.0	0.0
Total Genome Size: 3.209286105E9	Total Aligned Tags: 4.2057224E7

bwa	0.7.17-r1188
bwa mem -t 8 -v 1 /storage/group/bfp2/default/00_pughlab/tool_data/hg38/bwa_mem_index/hg38/hg38.fa /storage/group/bfp2/default/00_pughlab/pulsar/files/staging/1288753/inputs/801-41859_L1_R1.fastq.gz /storage/group/bfp2/default/00_pughlab/pulsar/files/staging/1288753/inputs/801-41859_L1_R2.fastq.gz
MarkDuplicates	2.18.2-SNAPSHOT
MarkDuplicates TAGGING_POLICY=All INPUT=[Map_with_BWA-MEM_on_data_4_and_data_3__mapped_reads_in_BAM_format_] OUTPUT=/storage/group/bfp2/default/00_pughlab/pulsar/files/staging/1288757/outputs/dataset_94b4e767-667d-48f6-b89d-f5d83fffd970.dat METRICS_FILE=/storage/group/bfp2/default/00_pughlab/pulsar/files/staging/1288757/outputs/dataset_6b48fff5-b8a9-4979-90a1-cac3d8ae1172.dat REMOVE_DUPLICATES=false ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=ERROR QUIET=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false CLEAR_DT=true ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false

