,Location,NFIA-Nuc_engagement
chr3_48546622_48546637,orientated upstream,0
chr5_32074611_32074626,orientated upstream,0
chrX_38582009_38582024,orientated upstream,0
chr1_219758161_219758176,orientated upstream,0
chr1_37691756_37691771,orientated upstream,0
chr1_65309428_65309443,orientated upstream,0
chr11_67401675_67401690,orientated upstream,0
chr12_104685011_104685026,orientated upstream,0
chr14_52926460_52926475,orientated upstream,0
chr14_81234478_81234493,orientated upstream,0
chr15_27550870_27550885,orientated upstream,0
chr19_13216134_13216149,orientated upstream,0
chr2_25968767_25968782,orientated upstream,0
chr22_41660550_41660565,orientated upstream,0
chr3_14287130_14287145,orientated upstream,0
chr5_143183231_143183246,orientated upstream,0
chr5_179422658_179422673,orientated upstream,0
chr7_539952_539967,orientated upstream,0
chr9_134896034_134896049,orientated upstream,0
chrX_115324486_115324501,orientated upstream,0
chr1_168443541_168443556,orientated upstream,0
chr1_52404364_52404379,orientated upstream,0
chr10_118662387_118662402,orientated upstream,0
chr10_95998434_95998449,orientated upstream,0
chr11_34555459_34555474,orientated upstream,0
chr12_127770278_127770293,orientated upstream,0
chr14_88986217_88986232,orientated upstream,0
chr14_95770997_95771012,orientated upstream,0
chr15_94881030_94881045,orientated upstream,0
chr16_25814670_25814685,orientated upstream,0
chr16_35145461_35145476,orientated upstream,0
chr16_50297809_50297824,orientated upstream,0
chr16_57266321_57266336,orientated upstream,0
chr17_17172744_17172759,orientated upstream,0
chr17_4440825_4440840,orientated upstream,0
chr2_119645351_119645366,orientated upstream,0
chr5_122327291_122327306,orientated upstream,0
chr6_143002882_143002897,orientated upstream,0
chr1_153441726_153441741,orientated upstream,0
chr11_3626354_3626369,orientated upstream,0
chr11_46403330_46403345,orientated upstream,0
chr11_93842644_93842659,orientated upstream,0
chr12_12172426_12172441,orientated upstream,0
chr13_43308005_43308020,orientated upstream,0
chr15_55796720_55796735,orientated upstream,0
chr17_35890114_35890129,orientated upstream,0
chr17_78585465_78585480,orientated upstream,0
chr18_57649820_57649835,orientated upstream,0
chr19_43087895_43087910,orientated upstream,0
chr20_51456688_51456703,orientated upstream,0
chr22_49903761_49903776,orientated upstream,0
chr5_140153534_140153549,orientated upstream,0
chr5_173764652_173764667,orientated upstream,0
chr7_101477505_101477520,orientated upstream,0
chr7_142745434_142745449,orientated upstream,0
chr7_152270669_152270684,orientated upstream,0
chr7_36115628_36115643,orientated upstream,0
chr9_137266363_137266378,orientated upstream,0
chr9_2355725_2355740,orientated upstream,0
chr9_38473607_38473622,orientated upstream,0
chrX_22022702_22022717,orientated upstream,0
chr1_147613676_147613691,orientated upstream,0
chr1_169168208_169168223,orientated upstream,0
chr1_70034646_70034661,orientated upstream,0
chr1_85200903_85200918,orientated upstream,0
chr10_110525034_110525049,orientated upstream,0
chr10_117153163_117153178,orientated upstream,0
chr11_124677957_124677972,orientated upstream,0
chr11_69263834_69263849,orientated upstream,0
chr12_116599922_116599937,orientated upstream,0
chr12_26101469_26101484,orientated upstream,0
chr16_85206398_85206413,orientated upstream,0
chr19_7179735_7179750,orientated upstream,0
chr2_107018588_107018603,orientated upstream,0
chr2_147833801_147833816,orientated upstream,0
chr2_173972782_173972797,orientated upstream,0
chr2_188520057_188520072,orientated upstream,0
chr2_218379282_218379297,orientated upstream,0
chr2_28655215_28655230,orientated upstream,0
chr3_53109964_53109979,orientated upstream,0
chr3_83928618_83928633,orientated upstream,0
chr4_37549257_37549272,orientated upstream,0
chr5_96537147_96537162,orientated upstream,0
chr6_113396853_113396868,orientated upstream,0
chr6_154448139_154448154,orientated upstream,0
chr6_33169981_33169996,orientated upstream,0
chr7_13532539_13532554,orientated upstream,0
chr7_29854744_29854759,orientated upstream,0
chr7_76576426_76576441,orientated upstream,0
chr7_92525611_92525626,orientated upstream,0
chr8_112712001_112712016,orientated upstream,0
chr8_73135345_73135360,orientated upstream,0
chr9_105064686_105064701,orientated upstream,0
chr9_35311934_35311949,orientated upstream,0
chr9_36163366_36163381,orientated upstream,0
chr1_227971797_227971812,orientated upstream,0
chr1_245698919_245698934,orientated upstream,0
chr1_25922853_25922868,orientated upstream,0
chr1_36365519_36365534,orientated upstream,0
chr1_59232422_59232437,orientated upstream,0
chr10_10589805_10589820,orientated upstream,0
chr10_133159193_133159208,orientated upstream,0
chr10_22780271_22780286,orientated upstream,0
chr11_2807458_2807473,orientated upstream,0
chr12_8919848_8919863,orientated upstream,0
chr13_24835349_24835364,orientated upstream,0
chr14_24313428_24313443,orientated upstream,0
chr15_96234156_96234171,orientated upstream,0
chr16_68685874_68685889,orientated upstream,0
chr17_28796255_28796270,orientated upstream,0
chr17_83226615_83226630,orientated upstream,0
chr18_23744208_23744223,orientated upstream,0
chr19_40921563_40921578,orientated upstream,0
chr19_46299168_46299183,orientated upstream,0
chr19_46303513_46303528,orientated upstream,0
chr20_10240174_10240189,orientated upstream,0
chr20_835833_835848,orientated upstream,0
chr3_40019614_40019629,orientated upstream,0
chr5_138306019_138306034,orientated upstream,0
chr5_613311_613326,orientated upstream,0
chr7_6273520_6273535,orientated upstream,0
chr8_132339192_132339207,orientated upstream,0
chr8_21744399_21744414,orientated upstream,0
chr9_109036861_109036876,orientated upstream,0
chr9_123609786_123609801,orientated upstream,0
chr9_72235497_72235512,orientated upstream,0
chr16_715797_715812,orientated downstream,0
chr1_143626072_143626087,orientated downstream,0
chrX_17547794_17547809,orientated downstream,0
chr19_3056189_3056204,orientated downstream,0
chr10_33273505_33273520,orientated downstream,0
chr8_72475653_72475668,orientated downstream,0
chr11_61581460_61581475,orientated downstream,0
chr4_112325676_112325691,orientated downstream,0
chr4_177440043_177440058,orientated downstream,0
chr7_51198818_51198833,orientated downstream,0
chr9_113584530_113584545,orientated downstream,0
chr1_147613676_147613691,orientated downstream,0
chr12_104044331_104044346,orientated downstream,0
chr6_113396853_113396868,orientated downstream,0
chr9_36163366_36163381,orientated downstream,0
chr10_133230543_133230558,orientated downstream,0
chr19_46303513_46303528,orientated downstream,0
chr11_65558417_65558432,orientated upstream,0.301029996
chr16_23942182_23942197,orientated upstream,0.301029996
chr19_49929923_49929938,orientated upstream,0.301029996
chr1_26826576_26826591,orientated upstream,0.301029996
chr10_92757237_92757252,orientated upstream,0.301029996
chr11_2444632_2444647,orientated upstream,0.301029996
chr19_16825470_16825485,orientated upstream,0.301029996
chr17_74760948_74760963,orientated upstream,0.301029996
chr11_69700726_69700741,orientated upstream,0.301029996
chr18_46375125_46375140,orientated upstream,0.301029996
chr2_151923457_151923472,orientated upstream,0.301029996
chr6_4733045_4733060,orientated upstream,0.301029996
chr3_71186183_71186198,orientated upstream,0.301029996
chr6_99568875_99568890,orientated upstream,0.301029996
chr17_6914795_6914810,orientated upstream,0.301029996
chr7_1458913_1458928,orientated upstream,0.301029996
chr12_108849813_108849828,orientated upstream,0.301029996
chr19_41595439_41595454,orientated upstream,0.301029996
chr1_155273666_155273681,orientated upstream,0.301029996
chr3_164004428_164004443,orientated upstream,0.301029996
chr19_44989308_44989323,orientated upstream,0.301029996
chr6_161439261_161439276,orientated upstream,0.301029996
chr9_83979491_83979506,orientated upstream,0.301029996
chr21_42640690_42640705,orientated upstream,0.301029996
chr11_110093047_110093062,orientated upstream,0.301029996
chr2_33426724_33426739,orientated upstream,0.301029996
chr1_2391654_2391669,orientated upstream,0.301029996
chr19_11505504_11505519,orientated upstream,0.301029996
chr11_47786488_47786503,orientated upstream,0.301029996
chr5_103259505_103259520,orientated upstream,0.301029996
chr5_175867998_175868013,orientated upstream,0.301029996
chr10_80388457_80388472,orientated upstream,0.301029996
chr17_39196742_39196757,orientated upstream,0.301029996
chr2_27211944_27211959,orientated upstream,0.301029996
chr9_129488569_129488584,orientated upstream,0.301029996
chr18_11388094_11388109,orientated upstream,0.301029996
chr21_35120980_35120995,orientated upstream,0.301029996
chr3_118943779_118943794,orientated upstream,0.301029996
chr12_4215552_4215567,orientated upstream,0.301029996
chr17_3871105_3871120,orientated upstream,0.301029996
chr17_73798496_73798511,orientated upstream,0.301029996
chr19_40589388_40589403,orientated upstream,0.301029996
chr19_48135627_48135642,orientated upstream,0.301029996
chr20_35232799_35232814,orientated upstream,0.301029996
chr4_113582862_113582877,orientated upstream,0.301029996
chr6_119380002_119380017,orientated upstream,0.301029996
chr7_86925397_86925412,orientated upstream,0.301029996
chr20_52481702_52481717,orientated upstream,0.301029996
chr3_13041326_13041341,orientated upstream,0.301029996
chr3_131217688_131217703,orientated upstream,0.301029996
chr6_154462627_154462642,orientated upstream,0.301029996
chr9_137436204_137436219,orientated upstream,0.301029996
chr3_126065054_126065069,orientated upstream,0.301029996
chr6_149235276_149235291,orientated upstream,0.301029996
chr12_110267331_110267346,orientated upstream,0.301029996
chr12_6241693_6241708,orientated upstream,0.301029996
chr17_81651784_81651799,orientated upstream,0.301029996
chr6_692980_692995,orientated upstream,0.301029996
chr7_128531523_128531538,orientated upstream,0.301029996
chr14_93138074_93138089,orientated upstream,0.301029996
chr2_157326954_157326969,orientated upstream,0.301029996
chr9_38182557_38182572,orientated upstream,0.301029996
chr10_63822691_63822706,orientated upstream,0.301029996
chr12_65419492_65419507,orientated upstream,0.301029996
chr15_87877596_87877611,orientated upstream,0.301029996
chr17_75844847_75844862,orientated upstream,0.301029996
chr2_11764591_11764606,orientated upstream,0.301029996
chr20_63012103_63012118,orientated upstream,0.301029996
chr6_41953326_41953341,orientated upstream,0.301029996
chr1_162630789_162630804,orientated upstream,0.301029996
chr1_2586984_2586999,orientated upstream,0.301029996
chr11_57144811_57144826,orientated upstream,0.301029996
chr12_107038847_107038862,orientated upstream,0.301029996
chr12_18458835_18458850,orientated upstream,0.301029996
chr17_4852640_4852655,orientated upstream,0.301029996
chr19_13850622_13850637,orientated upstream,0.301029996
chr2_237041375_237041390,orientated upstream,0.301029996
chr3_123602546_123602561,orientated upstream,0.301029996
chr7_138338484_138338499,orientated upstream,0.301029996
chr8_127980450_127980465,orientated upstream,0.301029996
chr8_5963699_5963714,orientated upstream,0.301029996
chr9_76646533_76646548,orientated upstream,0.301029996
chr10_117684812_117684827,orientated upstream,0.301029996
chr14_61463018_61463033,orientated upstream,0.301029996
chr1_159878258_159878273,orientated upstream,0.301029996
chr14_37254098_37254113,orientated upstream,0.301029996
chr2_103606023_103606038,orientated upstream,0.301029996
chr5_81825544_81825559,orientated upstream,0.301029996
chr6_67300654_67300669,orientated upstream,0.301029996
chr9_113076295_113076310,orientated upstream,0.301029996
chr9_94694333_94694348,orientated upstream,0.301029996
chr1_154463788_154463803,orientated upstream,0.301029996
chr1_161001730_161001745,orientated upstream,0.301029996
chr1_246161816_246161831,orientated upstream,0.301029996
chr13_51135751_51135766,orientated upstream,0.301029996
chr16_4650604_4650619,orientated upstream,0.301029996
chr3_158127929_158127944,orientated upstream,0.301029996
chr6_157674528_157674543,orientated upstream,0.301029996
chrX_119015543_119015558,orientated upstream,0.301029996
chr1_16013070_16013085,orientated upstream,0.301029996
chr10_48776585_48776600,orientated upstream,0.301029996
chr2_225270977_225270992,orientated upstream,0.301029996
chr22_49490437_49490452,orientated upstream,0.301029996
chr3_61895232_61895247,orientated upstream,0.301029996
chr5_171442451_171442466,orientated upstream,0.301029996
chr1_151221780_151221795,orientated upstream,0.301029996
chr1_169060167_169060182,orientated upstream,0.301029996
chr1_25518227_25518242,orientated upstream,0.301029996
chr10_78727889_78727904,orientated upstream,0.301029996
chr11_97740051_97740066,orientated upstream,0.301029996
chr14_74323923_74323938,orientated upstream,0.301029996
chr19_15551916_15551931,orientated upstream,0.301029996
chr6_13935994_13936009,orientated upstream,0.301029996
chr6_1766847_1766862,orientated upstream,0.301029996
chr6_87200935_87200950,orientated upstream,0.301029996
chr8_39134439_39134454,orientated upstream,0.301029996
chr10_123135192_123135207,orientated upstream,0.301029996
chr10_99976710_99976725,orientated upstream,0.301029996
chr11_3466477_3466492,orientated upstream,0.301029996
chr17_77840804_77840819,orientated upstream,0.301029996
chr19_1252961_1252976,orientated upstream,0.301029996
chr19_8215066_8215081,orientated upstream,0.301029996
chr5_78352077_78352092,orientated upstream,0.301029996
chr7_26145406_26145421,orientated upstream,0.301029996
chr11_9145048_9145063,orientated upstream,0.301029996
chr13_75437705_75437720,orientated upstream,0.301029996
chr3_108153655_108153670,orientated upstream,0.301029996
chr3_158267252_158267267,orientated upstream,0.301029996
chr4_109068103_109068118,orientated upstream,0.301029996
chr9_78281417_78281432,orientated upstream,0.301029996
chrX_15744414_15744429,orientated upstream,0.301029996
chr16_2532624_2532639,orientated upstream,0.301029996
chr2_121804528_121804543,orientated upstream,0.301029996
chr6_152068837_152068852,orientated upstream,0.301029996
chr7_100540171_100540186,orientated upstream,0.301029996
chr7_44884736_44884751,orientated upstream,0.301029996
chr8_6018045_6018060,orientated upstream,0.301029996
chr1_153780245_153780260,orientated upstream,0.301029996
chr1_204131122_204131137,orientated upstream,0.301029996
chr1_20840935_20840950,orientated upstream,0.301029996
chr1_230626361_230626376,orientated upstream,0.301029996
chr1_38298002_38298017,orientated upstream,0.301029996
chr10_79097319_79097334,orientated upstream,0.301029996
chr11_1400097_1400112,orientated upstream,0.301029996
chr12_107874910_107874925,orientated upstream,0.301029996
chr13_24742144_24742159,orientated upstream,0.301029996
chr14_60311620_60311635,orientated upstream,0.301029996
chr16_74225017_74225032,orientated upstream,0.301029996
chr18_48107598_48107613,orientated upstream,0.301029996
chr22_32881088_32881103,orientated upstream,0.301029996
chr3_57029975_57029990,orientated upstream,0.301029996
chr4_185238938_185238953,orientated upstream,0.301029996
chr4_74106070_74106085,orientated upstream,0.301029996
chr6_17865452_17865467,orientated upstream,0.301029996
chr6_38114015_38114030,orientated upstream,0.301029996
chrY_2160383_2160398,orientated upstream,0.301029996
chr1_15372184_15372199,orientated upstream,0.301029996
chr1_92087739_92087754,orientated upstream,0.301029996
chr10_113921767_113921782,orientated upstream,0.301029996
chr10_43595450_43595465,orientated upstream,0.301029996
chr12_115440594_115440609,orientated upstream,0.301029996
chr12_57265690_57265705,orientated upstream,0.301029996
chr16_20741470_20741485,orientated upstream,0.301029996
chr16_66473483_66473498,orientated upstream,0.301029996
chr18_22872355_22872370,orientated upstream,0.301029996
chr19_14496384_14496399,orientated upstream,0.301029996
chr2_217248463_217248478,orientated upstream,0.301029996
chr4_13239089_13239104,orientated upstream,0.301029996
chr4_165176053_165176068,orientated upstream,0.301029996
chr4_40897725_40897740,orientated upstream,0.301029996
chr7_36490453_36490468,orientated upstream,0.301029996
chrX_119685927_119685942,orientated upstream,0.301029996
chr1_17219160_17219175,orientated upstream,0.301029996
chr1_43577623_43577638,orientated upstream,0.301029996
chr15_43294528_43294543,orientated upstream,0.301029996
chr15_76241737_76241752,orientated upstream,0.301029996
chr15_82051868_82051883,orientated upstream,0.301029996
chr17_50865678_50865693,orientated upstream,0.301029996
chr17_79715824_79715839,orientated upstream,0.301029996
chr19_6773509_6773524,orientated upstream,0.301029996
chr2_151908688_151908703,orientated upstream,0.301029996
chr21_45432081_45432096,orientated upstream,0.301029996
chr4_99301004_99301019,orientated upstream,0.301029996
chr6_141824582_141824597,orientated upstream,0.301029996
chr6_5744756_5744771,orientated upstream,0.301029996
chr6_5981793_5981808,orientated upstream,0.301029996
chr7_106456518_106456533,orientated upstream,0.301029996
chr7_22723273_22723288,orientated upstream,0.301029996
chr1_198676454_198676469,orientated upstream,0.301029996
chr1_213609707_213609722,orientated upstream,0.301029996
chr10_86872911_86872926,orientated upstream,0.301029996
chr10_93199284_93199299,orientated upstream,0.301029996
chr11_101096476_101096491,orientated upstream,0.301029996
chr11_107741296_107741311,orientated upstream,0.301029996
chr11_110366415_110366430,orientated upstream,0.301029996
chr12_14902703_14902718,orientated upstream,0.301029996
chr12_43009509_43009524,orientated upstream,0.301029996
chr13_30833090_30833105,orientated upstream,0.301029996
chr15_44194553_44194568,orientated upstream,0.301029996
chr16_50147141_50147156,orientated upstream,0.301029996
chr16_67673836_67673851,orientated upstream,0.301029996
chr2_23351628_23351643,orientated upstream,0.301029996
chr2_86628338_86628353,orientated upstream,0.301029996
chr21_32112430_32112445,orientated upstream,0.301029996
chr3_185122770_185122785,orientated upstream,0.301029996
chr3_72564148_72564163,orientated upstream,0.301029996
chr3_9028242_9028257,orientated upstream,0.301029996
chr4_108117768_108117783,orientated upstream,0.301029996
chr6_106887773_106887788,orientated upstream,0.301029996
chr6_30837970_30837985,orientated upstream,0.301029996
chr7_20514579_20514594,orientated upstream,0.301029996
chr9_124849988_124850003,orientated upstream,0.301029996
chr9_27457604_27457619,orientated upstream,0.301029996
chrX_129642120_129642135,orientated upstream,0.301029996
chrX_136189442_136189457,orientated upstream,0.301029996
chr1_101452999_101453014,orientated upstream,0.301029996
chr10_7488699_7488714,orientated upstream,0.301029996
chr11_124103359_124103374,orientated upstream,0.301029996
chr12_120365780_120365795,orientated upstream,0.301029996
chr12_14869643_14869658,orientated upstream,0.301029996
chr12_7634725_7634740,orientated upstream,0.301029996
chr14_101856132_101856147,orientated upstream,0.301029996
chr14_39339262_39339277,orientated upstream,0.301029996
chr14_69318047_69318062,orientated upstream,0.301029996
chr15_55164486_55164501,orientated upstream,0.301029996
chr16_29177798_29177813,orientated upstream,0.301029996
chr19_10998179_10998194,orientated upstream,0.301029996
chr19_13167727_13167742,orientated upstream,0.301029996
chr3_11498806_11498821,orientated upstream,0.301029996
chr3_130120049_130120064,orientated upstream,0.301029996
chr4_79726864_79726879,orientated upstream,0.301029996
chr5_13766441_13766456,orientated upstream,0.301029996
chrY_11823985_11824000,orientated upstream,0.301029996
chr1_12525585_12525600,orientated upstream,0.301029996
chr1_243255499_243255514,orientated upstream,0.301029996
chr10_44513887_44513902,orientated upstream,0.301029996
chr10_46524417_46524432,orientated upstream,0.301029996
chr15_73688642_73688657,orientated upstream,0.301029996
chr15_78810432_78810447,orientated upstream,0.301029996
chr16_77896587_77896602,orientated upstream,0.301029996
chr17_38745661_38745676,orientated upstream,0.301029996
chr19_13181962_13181977,orientated upstream,0.301029996
chr2_130202641_130202656,orientated upstream,0.301029996
chr2_190082337_190082352,orientated upstream,0.301029996
chr2_205133716_205133731,orientated upstream,0.301029996
chr2_231415227_231415242,orientated upstream,0.301029996
chr5_35319799_35319814,orientated upstream,0.301029996
chr6_52547853_52547868,orientated upstream,0.301029996
chr7_132161374_132161389,orientated upstream,0.301029996
chr8_100503028_100503043,orientated upstream,0.301029996
chr9_114617182_114617197,orientated upstream,0.301029996
chr1_214823347_214823362,orientated upstream,0.301029996
chr10_101164114_101164129,orientated upstream,0.301029996
chr10_104339690_104339705,orientated upstream,0.301029996
chr12_111994336_111994351,orientated upstream,0.301029996
chr12_2163361_2163376,orientated upstream,0.301029996
chr12_26721977_26721992,orientated upstream,0.301029996
chr14_60226466_60226481,orientated upstream,0.301029996
chr16_12971424_12971439,orientated upstream,0.301029996
chr16_28539066_28539081,orientated upstream,0.301029996
chr16_57106946_57106961,orientated upstream,0.301029996
chr16_75258906_75258921,orientated upstream,0.301029996
chr17_4678488_4678503,orientated upstream,0.301029996
chr2_148909317_148909332,orientated upstream,0.301029996
chr2_222859963_222859978,orientated upstream,0.301029996
chr2_239311831_239311846,orientated upstream,0.301029996
chr20_59005321_59005336,orientated upstream,0.301029996
chr22_42686921_42686936,orientated upstream,0.301029996
chr3_10996538_10996553,orientated upstream,0.301029996
chr3_136120937_136120952,orientated upstream,0.301029996
chr3_25625712_25625727,orientated upstream,0.301029996
chr5_55438227_55438242,orientated upstream,0.301029996
chr5_71744602_71744617,orientated upstream,0.301029996
chr6_133894980_133894995,orientated upstream,0.301029996
chr7_26858200_26858215,orientated upstream,0.301029996
chr7_30253445_30253460,orientated upstream,0.301029996
chr7_99536585_99536600,orientated upstream,0.301029996
chr8_60156695_60156710,orientated upstream,0.301029996
chr9_113087183_113087198,orientated upstream,0.301029996
chr1_201192331_201192346,orientated upstream,0.301029996
chr1_42419540_42419555,orientated upstream,0.301029996
chr10_117335122_117335137,orientated upstream,0.301029996
chr11_115238924_115238939,orientated upstream,0.301029996
chr11_14771315_14771330,orientated upstream,0.301029996
chr11_18005950_18005965,orientated upstream,0.301029996
chr11_43969796_43969811,orientated upstream,0.301029996
chr11_72836204_72836219,orientated upstream,0.301029996
chr12_29316996_29317011,orientated upstream,0.301029996
chr14_39447628_39447643,orientated upstream,0.301029996
chr14_49951078_49951093,orientated upstream,0.301029996
chr15_38536340_38536355,orientated upstream,0.301029996
chr15_52666934_52666949,orientated upstream,0.301029996
chr15_89822932_89822947,orientated upstream,0.301029996
chr18_30334815_30334830,orientated upstream,0.301029996
chr19_40366298_40366313,orientated upstream,0.301029996
chr2_174878692_174878707,orientated upstream,0.301029996
chr2_176291864_176291879,orientated upstream,0.301029996
chr2_240920883_240920898,orientated upstream,0.301029996
chr20_23370252_23370267,orientated upstream,0.301029996
chr20_46845124_46845139,orientated upstream,0.301029996
chr21_43001064_43001079,orientated upstream,0.301029996
chr22_16398256_16398271,orientated upstream,0.301029996
chr22_32325682_32325697,orientated upstream,0.301029996
chr3_113746662_113746677,orientated upstream,0.301029996
chr4_152682769_152682784,orientated upstream,0.301029996
chr4_19739522_19739537,orientated upstream,0.301029996
chr4_5845422_5845437,orientated upstream,0.301029996
chr5_31477555_31477570,orientated upstream,0.301029996
chr5_32145056_32145071,orientated upstream,0.301029996
chr5_81086922_81086937,orientated upstream,0.301029996
chr6_112099296_112099311,orientated upstream,0.301029996
chr8_128917385_128917400,orientated upstream,0.301029996
chr8_140792260_140792275,orientated upstream,0.301029996
chr8_80615237_80615252,orientated upstream,0.301029996
chrX_150615533_150615548,orientated upstream,0.301029996
chr1_118111604_118111619,orientated upstream,0.301029996
chr1_160857120_160857135,orientated upstream,0.301029996
chr1_166033225_166033240,orientated upstream,0.301029996
chr1_19534496_19534511,orientated upstream,0.301029996
chr1_208203241_208203256,orientated upstream,0.301029996
chr1_220432114_220432129,orientated upstream,0.301029996
chr1_226656991_226657006,orientated upstream,0.301029996
chr10_103284321_103284336,orientated upstream,0.301029996
chr11_1991300_1991315,orientated upstream,0.301029996
chr12_103814619_103814634,orientated upstream,0.301029996
chr12_116159333_116159348,orientated upstream,0.301029996
chr12_124017767_124017782,orientated upstream,0.301029996
chr13_75879858_75879873,orientated upstream,0.301029996
chr14_81416075_81416090,orientated upstream,0.301029996
chr15_49646151_49646166,orientated upstream,0.301029996
chr15_65211523_65211538,orientated upstream,0.301029996
chr15_77506602_77506617,orientated upstream,0.301029996
chr16_18631823_18631838,orientated upstream,0.301029996
chr16_58110756_58110771,orientated upstream,0.301029996
chr17_33696702_33696717,orientated upstream,0.301029996
